     15.50  -1280.620067  -1280.452075  -1280.450648  -1280.449959  -1280.441867  -1280.439253  -1280.449959  -1280.234021
     16.00  -1280.628580  -1280.460337  -1280.458719  -1280.456717  -1280.450347  -1280.448421  -1280.458719  -1280.234277
     16.50  -1280.636324  -1280.469538  -1280.465092  -1280.462995  -1280.458480  -1280.457112  -1280.462995  -1280.234375
     17.00  -1280.641296  -1280.476250  -1280.469217  -1280.466943  -1280.464277  -1280.463109  -1280.466943  -1280.234280
     17.50  -1280.644005  -1280.480862  -1280.471562  -1280.469380  -1280.468176  -1280.466471  -1280.469380  -1280.234139
     18.00  -1280.645509  -1280.484388  -1280.473308  -1280.471654  -1280.471052  -1280.468036  -1280.471654  -1280.234162
     18.50  -1280.645888  -1280.486866  -1280.474718  -1280.473475  -1280.472762  -1280.468274  -1280.474718  -1280.234231
     19.00  -1280.644371  -1280.487490  -1280.474948  -1280.473764  -1280.472560  -1280.466741  -1280.474948  -1280.234288
     19.50  -1280.640444  -1280.485737  -1280.473202  -1280.471860  -1280.470213  -1280.463038  -1280.473202  -1280.234243
     20.00  -1280.634705  -1280.482195  -1280.469956  -1280.468258  -1280.466420  -1280.457807  -1280.469956  -1280.234133
     20.50  -1280.628624  -1280.478317  -1280.466648  -1280.464368  -1280.462636  -1280.452552  -1280.466648  -1280.234024
     21.00  -1280.623711  -1280.475597  -1280.464756  -1280.461700  -1280.460305  -1280.448809  -1280.464756  -1280.233962
     21.50  -1280.620861  -1280.474914  -1280.465131  -1280.461263  -1280.460144  -1280.447498  -1280.465131  -1280.233956
     22.00  -1280.620138  -1280.476321  -1280.467776  -1280.463389  -1280.461888  -1280.448732  -1280.467776  -1280.234002
     22.50  -1280.620872  -1280.479163  -1280.471945  -1280.467351  -1280.464860  -1280.451987  -1280.471945  -1280.234094
     23.00  -1280.621779  -1280.482221  -1280.476240  -1280.471663  -1280.467908  -1280.456147  -1280.476240  -1280.234237
     23.50  -1280.620990  -1280.483765  -1280.478603  -1280.474354  -1280.469204  -1280.459116  -1280.478603  -1280.234413
     24.00  -1280.616364  -1280.481824  -1280.476671  -1280.473209  -1280.466614  -1280.458388  -1280.476671  -1280.234537
     24.50  -1280.606606  -1280.475098  -1280.469089  -1280.466855  -1280.458831  -1280.452471  -1280.469089  -1280.234498
     25.00  -1280.592754  -1280.464406  -1280.457032  -1280.456246  -1280.446867  -1280.442284  -1280.457032  -1280.234283
     25.50  -1280.578312  -1280.453025  -1280.444868  -1280.444044  -1280.434180  -1280.431234  -1280.444868  -1280.234071
     26.00  -1280.566840  -1280.444409  -1280.436162  -1280.433712  -1280.424307  -1280.422852  -1280.433712  -1280.234063
     26.50  -1280.559326  -1280.439420  -1280.431079  -1280.427062  -1280.418475  -1280.417717  -1280.427062  -1280.234218
     27.00  -1280.553924  -1280.436168  -1280.427724  -1280.422401  -1280.415189  -1280.413571  -1280.422401  -1280.234365
     27.50  -1280.548769  -1280.432773  -1280.424215  -1280.417893  -1280.411902  -1280.409245  -1280.417893  -1280.234350
     28.00  -1280.543914  -1280.429289  -1280.420612  -1280.413636  -1280.408503  -1280.404964  -1280.413636  -1280.234259
     28.50  -1280.540438  -1280.426795  -1280.418007  -1280.410717  -1280.406081  -1280.401858  -1280.410717  -1280.234211
     29.00  -1280.538829  -1280.425783  -1280.416908  -1280.409619  -1280.405143  -1280.400469  -1280.409619  -1280.234220
     29.50  -1280.538707  -1280.425882  -1280.416955  -1280.409964  -1280.405324  -1280.400443  -1280.409964  -1280.234229
